age,gender,marital_status,education,monthly_salary,employment_type,years_of_employment,company_type,house_type,monthly_rent,family_size,dependents,school_fees,college_fees,travel_expenses,groceries_utilities,other_monthly_expenses,existing_loans,current_emi_amount,credit_score,bank_balance,emergency_fund,emi_scenario,requested_amount,requested_tenure,emi_eligibility,max_monthly_emi
38.0,Male,Married,High School,18000.0,Private,7.4,Startup,Rented,4700.0,4,3,11700.0,0.0,2000.0,3700.0,3100.0,Yes,3000.0,598.0,90800.0,20200.0,Vehicle EMI,662000.0,45,Not_Eligible,500.0
38.0,Female,Married,High School,24600.0,Government,0.5,Mid-size,Family,0.0,4,3,0.0,0.0,3400.0,5100.0,4500.0,No,0.0,777.0,178400.0,92200.0,Personal Loan EMI,289000.0,33,Not_Eligible,7656.0
58.0,Male,Married,Post Graduate,33700.0,Private,3.3,Startup,Rented,5900.0,4,3,0.0,0.0,3700.0,8200.0,3100.0,Yes,5800.0,0.0,165500.0,47400.0,Education EMI,247000.0,45,Not_Eligible,2450.0
32.0,Female,Single,High School,47100.0,Private,3.9,Mid-size,Family,0.0,1,0,0.0,0.0,4800.0,7300.0,6400.0,Yes,5500.0,665.0,27700.0,12700.0,Personal Loan EMI,734000.0,36,Not_Eligible,6468.0
32.0,Male,Single,Graduate,35200.0,Private,1.3,Mid-size,Rented,11300.0,1,0,0.0,0.0,4800.0,9400.0,3000.0,No,0.0,612.0,269000.0,65500.0,Vehicle EMI,384000.0,13,Not_Eligible,2948.0
48.0,Male,Married,Post Graduate,79500.0,Private,8.7,Startup,Own,0.0,4,3,11500.0,17300.0,11100.0,23600.0,11700.0,Yes,18900.0,677.0,607700.0,178900.0,Vehicle EMI,696000.0,26,Not_Eligible,500.0
48.0,Male,Married,Graduate,41200.0,Government,7.0,Mid-size,Own,0.0,4,3,0.0,14200.0,5200.0,7100.0,5800.0,Yes,6500.0,703.0,34900.0,15400.0,Home Appliances EMI,186000.0,36,Not_Eligible,739.2
58.0,Male,Single,Post Graduate,100000.0,Self-employed,24.4,Large Indian,Own,0.0,1,0,0.0,0.0,8800.0,22000.0,13800.0,No,0.0,783.0,454200.0,244400.0,Education EMI,330000.0,40,Eligible,29916.0
32.0,Male,Married,Graduate,51200.0,Private,3.0,Large Indian,Rented,10800.0,4,3,0.0,0.0,6200.0,12000.0,7300.0,No,0.0,670.0,148800.0,40500.0,Education EMI,496000.0,24,Not_Eligible,7450.0
38.0,Male,Married,Graduate,21400.0,Private,1.4,Mid-size,Own,0.0,5,4,11600.0,14800.0,1400.0,5200.0,3400.0,No,0.0,644.0,163200.0,62900.0,Education EMI,302000.0,16,Not_Eligible,500.0
27.0,Female,Single,Professional,137100.0,Self-employed,0.5,Large Indian,Rented,35100.0,2,1,10800.0,0.0,12400.0,39300.0,11700.0,No,0.0,685.0,508400.0,216500.0,Home Appliances EMI,73000.0,12,Eligible,12510.0
38.0,Male,Married,Graduate,20000.0,Private,5.2,Startup,Own,0.0,4,3,0.0,0.0,1200.0,5600.0,2200.0,No,0.0,825.0,21600.0,10600.0,Education EMI,136000.0,14,Not_Eligible,5280.0
38.0,Male,Married,Graduate,34300.0,Self-employed,1.9,Large Indian,Rented,7200.0,5,4,0.0,0.0,1900.0,9400.0,3000.0,No,0.0,705.0,192500.0,57800.0,Education EMI,402000.0,40,Not_Eligible,5760.0
38.0,Female,Single,Professional,69700.0,Government,2.1,MNC,Family,0.0,2,1,8900.0,0.0,4200.0,13600.0,5600.0,No,0.0,669.0,513800.0,134000.0,Vehicle EMI,201000.0,24,Eligible,20570.0
38.0,Female,Married,Post Graduate,70300.0,Private,8.3,Mid-size,Rented,18400.0,4,3,7900.0,0.0,7900.0,19400.0,9700.0,Yes,8000.0,686.0,410600.0,200300.0,Home Appliances EMI,236000.0,25,Not_Eligible,500.0
58.0,Female,Married,Graduate,73200.0,Private,3.8,Large Indian,Own,0.0,4,3,14800.0,0.0,7000.0,15100.0,4900.0,Yes,16200.0,715.0,41200.0,12700.0,Personal Loan EMI,275000.0,42,Not_Eligible,4256.0
48.0,Female,Married,Graduate,29100.0,Government,8.4,Startup,Rented,7700.0,4,3,3800.0,0.0,4200.0,8600.0,1900.0,No,0.0,1200.0,217300.0,57100.0,Personal Loan EMI,951000.0,39,Not_Eligible,1754.5
27.0,Female,Single,High School,26300.0,Private,0.8,MNC,Own,0.0,3,2,0.0,0.0,3200.0,7900.0,1600.0,Yes,5300.0,649.0,188900.0,38900.0,Education EMI,86000.0,12,Not_Eligible,2045.12
58.0,Male,Married,Graduate,71400.0,Self-employed,3.7,MNC,Rented,18700.0,3,2,2900.0,0.0,10000.0,18500.0,13600.0,No,0.0,692.0,149600.0,36600.0,Education EMI,237000.0,18,Not_Eligible,3465.0
38.0,Male,Married,High School,46700.0,Private,9.3,Mid-size,Rented,10900.0,4,3,0.0,0.0,5700.0,10600.0,2900.0,Yes,9800.0,724.0,358300.0,141000.0,Personal Loan EMI,655000.0,35,Not_Eligible,2618.0
48.0,Male,Married,Post Graduate,23400.0,Self-employed,21.2,Small,Family,0.0,4,3,0.0,0.0,1800.0,6200.0,2500.0,Yes,3500.0,747.0,169400.0,74300.0,E-commerce Shopping EMI,86000.0,22,Not_Eligible,3257.1
27.0,Female,Single,Graduate,20000.0,Government,0.5,MNC,Rented,5300.0,2,1,12100.0,0.0,2700.0,5300.0,1300.0,No,0.0,746.0,20900.0,7700.0,Education EMI,268000.0,12,Not_Eligible,500.0
27.0,Female,Single,High School,20400.0,Government,0.6,Small,Family,0.0,1,0,0.0,0.0,1700.0,4800.0,4000.0,Yes,2500.0,755.0,131300.0,69300.0,Home Appliances EMI,114000.0,16,Not_Eligible,3418.8
27.0,Female,Married,Post Graduate,49300.0,Private,0.5,MNC,Rented,14200.0,2,1,11700.0,0.0,6300.0,12200.0,9000.0,Yes,13800.0,647.0,285000.0,154600.0,E-commerce Shopping EMI,158000.0,5,Not_Eligible,500.0
38.0,F,Married,Graduate,20000.0,Private,5.7,Startup,Rented,5400.0,4,3,10800.0,0.0,1600.0,4500.0,2100.0,Yes,3100.0,705.0,43800.0,22600.0,E-commerce Shopping EMI,117000.0,20,Not_Eligible,500.0
48.0,Female,Married,High School,35000.0,Private,12.7,Mid-size,Rented,8200.0,3,2,3200.0,0.0,1900.0,9700.0,2000.0,No,0.0,746.0,184400.0,57300.0,Personal Loan EMI,300000.0,59,Not_Eligible,5000.0
48.0,Male,Married,Professional,30300.0,Private,7.8,MNC,Family,0.0,4,3,0.0,0.0,3800.0,6100.0,2700.0,No,0.0,699.0,229300.0,136200.0,Education EMI,357000.0,25,Not_Eligible,9735.0
48.0,Female,Married,Graduate,48600.0,Government,0.5,Mid-size,Own,0.0,5,4,7600.0,0.0,3600.0,10700.0,5400.0,No,0.0,720.0,298000.0,153300.0,E-commerce Shopping EMI,108000.0,10,High_Risk,11715.0
48.0,Female,Single,Graduate,58500.0,Private,2.9,Mid-size,Own,0.0,1,0,0.0,0.0,5700.0,14200.0,9400.0,Yes,17200.0,554.0,66000.0,27700.0,Vehicle EMI,293000.0,69,Not_Eligible,2688.0
58.0,Female,Married,Professional,82400.0,Self-employed,16.5,Mid-size,Rented,21600.0,2,1,0.0,15400.0,7900.0,18600.0,9000.0,No,0.0,0.0,134900.0,59900.0,Vehicle EMI,594000.0,16,Not_Eligible,2851.2
32.0,Male,Single,Graduate,66200.0,Private,4.2,Startup,Rented,19600.0,2,1,0.0,0.0,9300.0,12000.0,12800.0,Yes,14600.0,763.0,163600.0,43200.0,Personal Loan EMI,477000.0,52,Not_Eligible,500.0
48.0,Female,Married,Graduate,63700.0,Private,4.2,MNC,Rented,14400.0,4,3,0.0,14500.0,6600.0,19100.0,8000.0,No,0.0,648.0,303600.0,171900.0,Vehicle EMI,273000.0,71,Not_Eligible,500.0
38.0,Male,Married,Graduate,30200.0,Private,1.9,Mid-size,Rented,7000.0,3,2,0.0,0.0,3100.0,6600.0,2300.0,No,0.0,706.0,109100.0,31800.0,Personal Loan EMI,568000.0,48,Not_Eligible,5600.0
27.0,Female,Married,Graduate,42800.0,Private,0.5,Small,Own,0.0,4,3,0.0,0.0,6000.0,8900.0,6900.0,No,0.0,571.0,110500.0,60400.0,E-commerce Shopping EMI,99000.0,14,Not_Eligible,6720.0
38.0,Female,Married,Graduate,31300.0,Self-employed,3.0,Large Indian,Family,0.0,4,3,0.0,10800.0,2100.0,5300.0,3200.0,Yes,3600.0,700.0,53600.0,27500.0,Vehicle EMI,1227000.0,37,Not_Eligible,1587.6
27.0,FEMALE,Single,Graduate,43900.0,Private,1.5,Mid-size,Own,0.0,2,1,10400.0,11900.0,6100.0,10500.0,6700.0,No,0.0,685.0,72400.0,26900.0,Home Appliances EMI,180000.0,11,Not_Eligible,500.0
48.0,Male,Married,Professional,156200.0,Self-employed,19.6,MNC,Rented,39000.0,3,2,0.0,24600.0,11000.0,34600.0,19000.0,No,0.0,755.0,266000.0,131400.0,Vehicle EMI,1123000.0,63,Not_Eligible,12096.0
48.0,Female,Single,Post Graduate,68200.0,Private,0.8,Startup,Family,0.0,2,1,10700.0,0.0,6200.0,14900.0,7400.0,Yes,16300.0,731.0,426200.0,210800.0,Home Appliances EMI,251000.0,24,Not_Eligible,3911.6
27.0,Male,Single,Graduate,28500.0,Private,0.6,Mid-size,Own,0.0,1,0,0.0,0.0,3400.0,8100.0,2000.0,No,0.0,734.0,30500.0,13700.0,Home Appliances EMI,267000.0,8,Not_Eligible,4800.0
32.0,Male,Married,Graduate,25800.0,Private,8.8,Small,Own,0.0,2,1,13700.0,0.0,1800.0,6200.0,2100.0,No,0.0,559.0,166800.0,53700.0,Vehicle EMI,1480000.0,74,Not_Eligible,880.0
38.0,Male,Married,Graduate,26700.0,Private,4.0,Mid-size,Rented,4100.0,2,1,11800.0,0.0,3200.0,7300.0,1600.0,Yes,6000.0,667.0,154400.0,51400.0,Home Appliances EMI,28000.0,8,Not_Eligible,500.0
48.0,Male,Married,Professional,73900.0,Private,9.8,Mid-size,Rented,11300.0,4,3,0.0,17900.0,9200.0,20300.0,13900.0,Yes,9100.0,689.0,295300.0,175500.0,Education EMI,433000.0,30,Not_Eligible,500.0
38.0,Male,Married,Graduate,18000.0,Government,1.9,Startup,Family,0.0,4,3,14900.0,0.0,2000.0,4500.0,2800.0,No,0.0,761.0,32500.0,6900.0,Education EMI,470000.0,31,Not_Eligible,500.0
38.0,Male,Married,Post Graduate,83000.0,Self-employed,1.5,Mid-size,Family,0.0,5,4,0.0,0.0,9400.0,13400.0,4900.0,No,0.0,682.0,109700.0,53200.0,Home Appliances EMI,131000.0,30,Eligible,19908.0
48.0,Female,Married,Post Graduate,134700.0,Private,3.3,Large Indian,Family,0.0,2,1,5700.0,18800.0,18200.0,26200.0,21200.0,Yes,27600.0,664.0,991200.0,393700.0,Personal Loan EMI,410000.0,16,Not_Eligible,6545.0
38.0,Female,Married,Post Graduate,86500.0,Private,0.7,MNC,Family,0.0,5,4,7800.0,0.0,10700.0,20700.0,6900.0,Yes,15200.0,691.0,608700.0,289800.0,Home Appliances EMI,270000.0,33,Not_Eligible,7761.6
32.0,Female,Married,High School,46300.0,Private,2.5,Mid-size,Rented,12500.0,3,2,0.0,0.0,4700.0,11900.0,4600.0,Yes,11000.0,674.0,98700.0,20000.0,Personal Loan EMI,860000.0,45,Not_Eligible,560.0
38.0,Male,Married,High School,25200.0,Private,2.9,Startup,Own,0.0,4,3,9900.0,0.0,2500.0,5700.0,2100.0,Yes,4200.0,566.0,194700.0,59400.0,Education EMI,358000.0,45,Not_Eligible,500.0
48.0,Male,Married,Graduate,24100.0,Government,12.6,Mid-size,Rented,4600.0,2,1,13400.0,13300.0,3100.0,4000.0,4300.0,No,0.0,698.0,56800.0,24400.0,Education EMI,61000.0,17,Not_Eligible,500.0
32.0,Female,Married,High School,19600.0,Private,0.8,Startup,Own,0.0,5,4,0.0,6900.0,2500.0,5800.0,1200.0,No,0.0,614.0,151100.0,90400.0,E-commerce Shopping EMI,125000.0,8,Not_Eligible,1126.4
48.0,FEMALE,Married,Professional,70300.0,Private,11.0,MNC,Rented,21800.0,3,2,10400.0,0.0,9900.0,13300.0,5400.0,No,0.0,755.0,185500.0,78500.0,Personal Loan EMI,660000.0,32,Not_Eligible,5700.0
27.0,Male,Married,Graduate,55600.0,Private,2.8,Startup,Own,0.0,4,3,0.0,8900.0,8100.0,14500.0,8900.0,No,0.0,633.0,92900.0,25000.0,Home Appliances EMI,281000.0,29,Not_Eligible,4864.0
32.0,Male,Married,Graduate,70600.0,Private,6.3,Large Indian,Rented,18400.0,3,2,10500.0,16100.0,9000.0,14500.0,14100.0,No,0.0,728.0,552700.0,229600.0,Vehicle EMI,309000.0,46,Not_Eligible,500.0
32.0,Female,Married,Graduate,73600.0,Private,2.0,Startup,Family,0.0,4,3,0.0,0.0,7400.0,19800.0,7000.0,Yes,15900.0,733.0,508500.0,270600.0,Personal Loan EMI,489000.0,48,Not_Eligible,9047.5
27.0,Female,Single,Professional,57200.0,Government,0.9,MNC,Rented,9600.0,1,0,0.0,0.0,4900.0,14000.0,4300.0,Yes,7700.0,733.0,267100.0,114200.0,Education EMI,309000.0,7,Not_Eligible,5845.0
32.0,Male,Single,High School,35300.0,Private,6.9,Small,Own,0.0,1,0,0.0,0.0,1900.0,5900.0,3500.0,Yes,9600.0,702.0,265000.0,83100.0,Education EMI,341000.0,19,Not_Eligible,5544.0
47.0,Female,Married,High School,11667.0,Private,1.9,Startup,Rented,27700.0,4,3,7900.0,0.0,10200.0,23000.0,8200.0,Yes,9200.0,679.0,172700.0,58800.0,Home Appliances EMI,119000.0,6,Not_Eligible,500.0
32.0,Male,Single,Post Graduate,68200.0,Government,0.5,Large Indian,Rented,18900.0,2,1,0.0,23300.0,9300.0,15300.0,4200.0,No,0.0,716.0,103300.0,26100.0,Education EMI,438000.0,39,Not_Eligible,500.0
38.0,Female,Married,Graduate,31800.0,Private,11.3,Large Indian,Own,0.0,3,2,0.0,5700.0,1900.0,9000.0,5600.0,Yes,7600.0,711.0,54300.0,24300.0,E-commerce Shopping EMI,120000.0,20,Not_Eligible,560.0
48.0,male,Married,Professional,44100.0,Private,12.7,Large Indian,Own,0.0,4,3,13200.0,8700.0,5900.0,10700.0,8600.0,No,0.0,746.0,131200.0,32900.0,E-commerce Shopping EMI,77000.0,11,Not_Eligible,500.0
38.0,Male,Married,Graduate,58000.0,Private,10.6,Large Indian,Own,0.0,3,2,0.0,8500.0,7700.0,16600.0,8200.0,No,0.0,669.0,104300.0,57100.0,Personal Loan EMI,621000.0,17,Not_Eligible,6800.0
38.0,Male,Married,Post Graduate,46300.0,Self-employed,6.3,Mid-size,Own,0.0,3,2,7800.0,0.0,3400.0,11500.0,5200.0,No,0.0,742.0,336600.0,137900.0,Personal Loan EMI,536000.0,53,Not_Eligible,9108.0
32.0,Male,Single,Post Graduate,26200.0,Government,10.0,MNC,Family,0.0,3,2,0.0,16900.0,1900.0,6600.0,2000.0,No,0.0,827.0,172800.0,101800.0,Education EMI,260000.0,8,Not_Eligible,500.0
